,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
60,"Eswatini, Kingdom of",20210.65983,22287.40252,24443.05711,27213.1651,30339.3801,32497.18459,35002.13205,40119.47013,44391.28171,47993.94753,51971.99164,56496.37011,59285.38979,62372.82804,...
61,Ethiopia,107349.0778,132669.3317,173297.1085,250132.6987,337608.9834,385943.2038,515078.542,747326.498,866921.082,1060825.383,1297961.44,1541277.204,1806656.083,2202373,...
62,Euro Area,8447664.452,8896707.601,9390564.018,9622963.07,9274982.998,9534698.907,9799209.211,9836955.715,9933835.1,10167905.89,10524438.83,10816983.62,11200953.2,11561242.84,...
63,Fiji,5507.728667,5818.727912,5939.714671,6082.433268,6081.544124,6526.07056,7332.087715,7701.487205,8358.18974,9167.032442,9822.110338,10327.29878,11064.95159,11557.43211,...
64,Finland,164687,172897,187072,194265,181747,188143,197998,201037,204321,206897,211385,217518,225836,234370,...
65,France,1765905,1848151,1941360,1992380,1936422,1995289,2058369,2088804,2117189,2149765,2198432,2234129,2295063,2353090,2418334
66,Gabon,4989260,5309448,5961579,6944822,5738118.531,7111476.557,8581582.503,8766489.23,8690517.448,8988325.164,8503444.931,8310636.115,8673344.805,...,...
67,"Gambia, The",29367.00297,29584.43116,31830.60804,34659.27888,38638.12047,43230.70649,41531.71606,45389.29662,49463.59658,51309.07934,58581.0616,64389.93927,70142.18825,78622.55966,...
68,Georgia,11620.94244,13789.91322,16993.77879,19074.8523,17985.9546,20743.36425,24343.98658,26167.2835,26847.35425,29150.4813,31755.55563,34028.45219,37846.61794,41077.45653,...
69,Germany,2288310,2385080,2499550,2546490,2445730,2564400,2693560,2745310,2811350,2927430,3030070,3134100,3244990,3344370,3435990
70,Ghana,22222.69784,26379.69322,31743.51931,40635.82225,48988.68691,61595.50971,81102.88296,101471.2006,123650.0096,155432.5471,180399.0434,215077.0447,256671.3747,300596.0546,...
71,Greece,199242.3118,217861.5682,232694.5927,241990.3899,237534.1815,226031.4472,207028.8753,191203.9079,180654.2763,178656.4794,177258.3559,176487.9467,180217.5946,184713.6072,...
72,Grenada,1877.499758,1886.491771,2048.445716,2230.140259,2082.450865,2081.742865,2102.370963,2159.681751,2275.07426,2461.04,2691.92,2866.43,3039.35,3198.75827,...
73,Guatemala,207729,229836.1,261760,295871.5,307966.6,333093.4,371011.5,394723.1,423097.7,454052.7,488128.1,521836.9,555648.9,...,...
74,Guinea,16422581.48,21728000,26369000,32046000,32248000,39289700,45176000,51605043.08,57865000,61663600,65829000,77086000,93664324.42,109022758.7,...
75,Guinea-Bissau,309516,309467,333565,387197,390403,420515,518288,505078.6587,516662.1573,520872.3007,619725.7178,698684.5036,784042.3953,793129.2365,...
76,Guyana,262250.0633,291965,352152,391506,413113,460072,525670,584784.0326,613652.6876,635377.2355,660226.6889,723580.5858,744608.3931,805663.6413,...
77,Haiti,168035,197138,220110,250590,267880,266952,302854,328061,364517,391635,423644,481212,551911,631829,...
78,Honduras,183747.4,206288.1,233567.1,262416.8,275632.2,299286,335027.8,361348.6,376539.4,414633.4,460405.2,495922,542569.7,...,...
79,Hungary,22549020,24316299,25701369,27217365,26458264,27268875,28370786,28847930,30290327,32694208,34785204,35896329,38835221,42661805,...
80,Iceland,1058881.762,1208248.363,1378140.951,1574729.288,1627656.568,1672719.012,1757694.908,1841728.732,1958961.068,2073560.486,2293947.83,2490936.383,2612972.711,2812005.53,...
81,India,36933687.92,42947059.27,49870895.68,56300600,64778300,77841200,87363300,99440100,112335200,124451300,136820400,151837100,167731463.5,190101641.9,...
82,Indonesia,3017393800,3631835300,4297113400,5414841900,6011375000,6864133100,7831726000,8615704500,9546134000,10569705300,11526332800,12401728500,13587212600,14837357500,...
83,"Iran, Islamic Republic of",2060757402,2486861686,3263076886,3893894371,4073178921,4990403789,6364368558,7283991299,9842618652,11260089218,11129032803,12722849000,14807100800,18689543233,...
84,Iraq,73533598.6,95587954.8,111455813.4,157026061.6,130642187,162064565.5,217327107.4,254225490.7,273587529.2,273603020.4,207224007.3,201427262.2,227367353.7,...,...
85,Ireland,170186.9888,184993.732,197202.0495,187769.0543,170100.549,167732.3008,170826.9911,175115.6587,179661.2565,194818.2044,262833.4178,271683.6178,297130.8376,324038.189,...
86,Israel,639626.9964,686346.1156,735182.75,775385.3386,815827.095,874903.9896,935568.5891,991666.5477,1056638.473,1107576.94,1165323.639,1224951.044,1271555.266,1330617.678,...
87,Italy,1493635.3,1552686.8,1614839.8,1637699.4,1577255.9,1611279.4,1648755.8,1624358.7,1612751.3,1627405.6,1655355,1695590.1,1736601.8,1765421.4,...
88,Jamaica,700275,784336,885632,997444,1065316,1152780,1240701,1314127,1431934,1541750,1659405,1760988,1897303,2002836.559,...
89,Japan,524132900,526879700,531688200,520715700,489501000,500354000,491408400,494957100,503175500,513876000,531319800,535537200,545897400,547125500,...
90,Jordan,8925.363709,10675.36834,12131.42234,15593.41148,16912.20927,18762.01935,20579.99964,22275.57511,24187.25464,25795.05854,26920.47237,27830,28903,29984.21878,...
91,Kazakhstan,7590594,10213731,12849794,16052919,17007647,21815517,28243053,31015187,35999025,39675833,40884134,46971150,54378857.8,61819536.4,...
92,Kenya,1586738.646,1862040.7,2151349.3,2483058,2863688,3169301,3725917.6,4261370,4745088,5402645,6284187,7022963.3,8144372.5,8904983.9,...
93,Kiribati,146.8393832,146.3919688,158.5555073,168.1508898,169.7888014,170.2021958,176.1631494,183.620802,191.7404395,198.4376471,225.1429711,244.2230575,257.3133165,...,...
94,"Korea, Republic of",957447800,1005601500,1089660200,1154216500,1205347700,1322611200,1388937200,1440111400,1500819100,1562928900,1658020400,1740779600,1835698200,1893497000,...
95,"Kosovo, Republic of",...,...,...,3882.77,4069.63,4401.97,4814.54,5058.77,5326.62,5567.5,5806.95,6070.05,6413.81,6725.91,...
96,Kuwait,23595.3,29469.5,32580.5,39619.8,30496.2,33079.1,42511.5,48722.2,49392.203,46284.995,34473.32,33055.75,36610.6,42474.9,...
97,Kyrgyz Republic,100899.2,113800.1,141897.7,187991.9,201222.9,220369.3,285989.1,310471.3,355294.8,400694,430489.4,476331.2,530476,557113.3,...
98,Lao People's Democratic Republic,32483363.99,39704193.44,45647649.38,51950014.15,54789537.12,61996763.91,71961759.73,81609860.36,93867573.85,106797293.6,117251584.1,129279119.5,140749000,152414000,...
99,Latvia,13586.676,17093.714,22589.514,24393.637,18884.898,17967.139,20319.305,21925.163,22803.013,23654.166,24425.959,25072.637,26797.833,29151.03,...
100,Lebanon,32396117.83,33238361.44,37496774.86,44060520.71,53482028.28,57917587.11,60414078.8,66401356.28,70055614.17,73150839.11,75239732.12,77611993.96,81682711.52,...,...
101,Lesotho,10214.66892,11499.47576,13484.8617,15543.71413,16225.71361,18162.04478,20680.69513,22590.04858,25385.42853,29274.41503,32405.36824,34325.1849,35735.02954,...,...
102,Liberia,755.1006695,819.1333437,926.4641351,983.0260105,1034.062504,1099.739429,1184.423689,1284.149554,1397.612473,1407.321023,1407.420523,1384.478585,1418.656222,...,...
103,Libya,59158,72032,85245.5018,90344.6,63689.1,87375.1,39171.1,100627.3,65994.4,30871,23748.42056,25753.31325,42345.36997,...,...
104,Lithuania,21002.35054,24079.17843,29040.66205,32696.28159,26934.82048,27955.32674,31233.72998,33331.6585,34984.99018,36544.76236,37321.82534,38893.37445,42269.36686,45264.37689,48271.98734
105,Luxembourg,30031.04,33808.445,37178.871,38128.581,36976.517,40177.812,43164.646,44112.095,46499.56,49824.506,52065.808,54867.233,56814.211,60053.082,...
106,Madagascar,10093833.95,11816688.42,13759733.24,16080899.33,16726271.6,18245130.03,20033884.67,21773586.93,23397022.13,25774535.4,28584819.28,31769182.61,35834653.64,...,...
107,Malawi,432929.8977,543784.7173,620421.9,747723,873982.3,1047335.6,1252750.177,1501732.514,2011120.44,2569690.529,3198515.547,3909583.637,4527869.136,...,...
108,Malaysia,569371,625100,696910,806480,746679,833104,924685,985049,1033085,1122160,1176941,1249697,1371649,1446914,...
109,Maldives,14891.01386,20162.51975,23915.23081,29076.99254,30019.66268,33128.52061,40510.86819,44345.19075,50633,56866.74646,63147,67837,74866,82101.41937,...
110,Mali,3294055,3607837,3903961,4387928.186,4812024.616,5288939,6123929,6352360,6540559.998,7093033.009,7747730,8308393.901,8927999.375,9538200,...
111,Malta,5149.327191,5386.143501,5757.484295,6128.676784,6138.623142,6599.507413,6833.615907,7167.552397,7647.309753,8510.44153,9658.669504,10365.64367,11332.0958,12378.78775,...
112,"Marshall Islands, Republic of",140.2810596,146.6817202,154.2629285,155.2655928,154.8716686,168.3134306,175.5446915,186.6073769,192.3056723,185.1539475,181.3423565,196.2683091,222.2941025,...,...
113,Mauritania,580032,816736.5,868012.732,960209,960857.5817,1196771.38,1452353,1551695,1695792,1626476,1565054.982,1647183.555,1759694.233,...,...
114,Mauritius,191393.3737,222871,255211,284254,291756,307955,330647,350644,372397,392062,409893,434765,457464,...,...
115,Mexico,9562648.113,10630939.43,11504075.51,12353845.28,12162762.85,13366377.17,14665576.47,15817754.58,16277187.08,17473841.54,18551459.27,20118100.92,21911893.8,23491507.02,...
116,"Micronesia, Federated States of",250.6440253,253.9071468,257.2044325,263.5289203,280.4935042,297.0293041,311.0476788,326.4896302,316.2643753,318.0559962,314.9710787,322.5317331,327.5119072,...,...
117,Moldova,37651.87,44754.366,53429.572,62921.543,60429.803,71885.47421,82348.70257,88227.75258,100510.4707,112049.5776,122562.7409,135396.7914,176777.0758,...,...
118,Mongolia,3530374.355,4807536.846,6285175.108,9451762.716,8592973.243,9756588.3,13173763.4,16688419.6,19174242.6,22227054.3,23150385.6,23942866.4,27895524.1,...,...
119,Montenegro,...,2169.631,2689.128,3103.331,2993.883,3125.09,3264.784,3181.477,3362.477,3457.922,3654.513537,3954.212294,4299.091223,4663.13037,...
120,Montserrat,131.96,139.34,145.99,154.99,160.39,149.88,171.99,168.83,160.61,159.26,159.87,169.663866,161.886544,...,...
121,Morocco,552670.8958,603737.2864,647532,716959,748483,784624,820077,847881,897923,925376,987950,1013559,1063297,1112567.77,...
122,Mozambique,175150.2637,207448.0937,242038.0127,279330.6465,300269.9194,344839.3628,381691.5,433122.1592,482233.4297,531777.1279,591678.6084,687116,804463.5,...,...
123,Myanmar,13301288.45,17523649.1,22760533.1,28668308.3,34000503.7,38767719.49,43042326.3,48783573.85,54636007.25,61637322.35,68987945.1,74265404.9,82541752.1,94893425.72,...
124,Namibia,46176,54026,61582.89446,70110.50714,75214.18074,82599.18845,90107.56315,106863.6005,122791.5394,138763.475,150082.5901,166005.5549,180605.3664,192138.2238,...
125,Nepal,589411.6732,654084.1284,727826.9666,815658.201,988271.5269,1192773.574,1366954.067,1527343.566,1695011.104,1964539.577,2130149.574,2253163.101,2674492.754,3031033.563,3464319.125
126,Netherlands,550883,584546,619170,647198,624842,639187,650359,652966,660463,671560,690008,708337,738146,774039,...
127,New Zealand,160758,169039,183347,189676,191996,201525,211301,216024,228039,240530,250811,265939,285123,297840,296754
128,Nicaragua,105776.8052,118837.7102,136950.1785,164602.3726,168791.3099,187052.6418,219182.2098,247993.871,271529.8264,308403.1234,347707.2927,380260.774,416012.8113,413910.5974,...
129,Niger,1776953,1906838,2052962,2419656,2548447,2832286,3024270,3544186,3788275,4069164,4288788,4510901,4726440,5162785.958,...
130,Nigeria,22269977.83,28662468.77,32995384.35,39157884.39,44285560.5,55469350.7,63713360.6,72599631,81009965.3,90136985.1,95177735.9,102575419.2,114899250.9,129086908.2,...
131,"North Macedonia, Republic of",308447.4046,334839.848,372889.2367,414890.113,414621.901,437295.506,464186.3319,466703.3435,501891,527630.5994,558953.6155,594794.8628,618105.6824,658053.2983,...
132,Norway,1989987,2216317,2350173,2607090,2428481,2591479,2792683,2964053,3071224,3140814,3111168,3098148,3295382,3530860,...
133,Oman,11951.02582,14309.46728,16181.82841,23418.14647,18605.32577,21935.1,26152.5,29458.8,30292.6,31174,26499.5,25177.3,27144.9,30481.9,...
134,Pakistan,7005353.9,8216160,9239786,10637772,13199707,14866996,18276440,20046500,22385657,25168805,27443022.5,29075633,31922302.94,34618576.5,...
